"0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","over90"
8.34375,1.35,0.875,2.19375,2.15,1.06875,0.93125,0.64375,0.1875,0.1875
0.98159509202454,17.8527607361963,1.69325153374233,1.34969325153374,3.17791411042945,1.47239263803681,0.441717791411043,0.398773006134969,0.171779141104294,0.171779141104294
0.593406593406593,1.37362637362637,7.52747252747253,3.38461538461538,2.53846153846154,2.14285714285714,0.813186813186813,0.417582417582418,0.263736263736264,0.263736263736264
1.78301886792453,1.00943396226415,2.39622641509434,5.19811320754717,3.76415094339623,1.94339622641509,1.4622641509434,0.547169811320755,0.179245283018868,0.179245283018868
1.87394957983193,2.5546218487395,1.99159663865546,3.7563025210084,4.23529411764706,2.72268907563025,1.14285714285714,0.705882352941177,0.277310924369748,0.277310924369748
1.39047619047619,3.76190476190476,1.98095238095238,2.5047619047619,3.18095238095238,3.27619047619048,1.55238095238095,0.8,0.457142857142857,0.457142857142857
0.653333333333333,1.48,1.42666666666667,2.70666666666667,2.49333333333333,2.38666666666667,2.17333333333333,1,0.586666666666667,0.586666666666667
0.333333333333333,0.611111111111111,0.722222222222222,0.944444444444444,2.05555555555556,1.55555555555556,2.61111111111111,1.22222222222222,0.111111111111111,0.111111111111111
0.8,0.6,1,0.4,1.4,1.6,1,1.2,0.4,0.4
0.8,0.6,1,0.4,1.4,1.6,1,1.2,0.4,0.4
